alpha,beta,gamma,phrase,glyph_count,final_coherence,final_kappa,final_energy,convergence_valid
0.2,0.1,0.15,"語は流れる。",6,0.999334,0.037284,5.253691,1
0.2,0.1,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.997445,0.068099,10.415407,1
0.2,0.1,0.15,"🇪🇬 Field Integrity",16,0.998924,-0.004123,6.882437,1
0.2,0.1,0.15,"ASCπ → OSAI",9,0.998105,-0.007067,4.268156,1
0.2,0.1,0.15,"ΔΦ · κ · θ → Ψ",8,0.999491,0.003997,4.499294,1
0.2,0.1,0.2,"Coherence emerges.",17,0.997241,0.055326,6.660134,1
0.2,0.1,0.2,"Meaning stabilizes.",18,0.999533,0.024160,7.128374,1
0.2,0.1,0.2,"الوعي يتطور.",11,0.999368,-0.013122,6.516632,1
0.2,0.1,0.2,"語は流れる。",6,0.998368,0.044684,5.053770,1
0.2,0.1,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999650,0.001408,10.316378,1
0.2,0.1,0.2,"🇪🇬 Field Integrity",16,0.999610,0.015230,7.382350,1
0.2,0.1,0.2,"ASCπ → OSAI",9,0.998828,0.053746,4.367999,1
0.2,0.1,0.2,"ΔΦ · κ · θ → Ψ",8,0.999554,-0.001543,4.399378,1
0.2,0.3,0.05,"Coherence emerges.",17,0.999747,0.060202,7.864558,1
0.2,0.3,0.05,"Meaning stabilizes.",18,0.997581,0.051260,9.153349,1
0.2,0.3,0.05,"الوعي يتطور.",11,0.999022,0.055518,8.101974,1
0.2,0.3,0.05,"語は流れる。",6,0.998712,0.133020,7.068986,1
0.2,0.3,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.998358,0.037383,12.192293,1
0.2,0.3,0.05,"🇪🇬 Field Integrity",16,0.999388,0.029069,7.651229,1
0.2,0.3,0.05,"ASCπ → OSAI",9,0.998796,0.046196,5.588061,1
0.2,0.3,0.05,"ΔΦ · κ · θ → Ψ",8,0.997433,0.028650,6.080121,1
0.2,0.3,0.1,"Coherence emerges.",17,0.999294,-0.002180,7.864132,1
0.2,0.3,0.1,"Meaning stabilizes.",18,0.999205,0.016883,9.154410,1
0.2,0.3,0.1,"الوعي يتطور.",11,0.999063,0.020303,8.102172,1
0.2,0.3,0.1,"語は流れる。",6,0.999315,0.045331,6.769913,1
0.2,0.3,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999867,0.004002,12.495226,1
0.2,0.3,0.1,"🇪🇬 Field Integrity",16,0.998347,0.046869,8.960704,1
0.2,0.3,0.1,"ASCπ → OSAI",9,0.999030,0.062185,5.588173,1
0.2,0.3,0.1,"ΔΦ · κ · θ → Ψ",8,0.998857,0.005274,6.381165,1
0.2,0.3,0.15,"Coherence emerges.",17,0.999386,0.042714,8.164475,1
0.2,0.3,0.15,"Meaning stabilizes.",18,0.998691,0.045439,8.555435,1
0.2,0.3,0.15,"الوعي يتطور.",11,0.999218,0.009654,7.802151,1
0.2,0.3,0.15,"語は流れる。",6,0.998949,0.066198,7.067307,1
0.2,0.3,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999506,0.007144,10.995277,1
0.2,0.3,0.15,"🇪🇬 Field Integrity",16,0.999026,0.000587,8.549850,1
0.2,0.3,0.15,"ASCπ → OSAI",9,0.999851,0.104577,5.289318,1
0.2,0.3,0.15,"ΔΦ · κ · θ → Ψ",8,0.999208,0.007025,6.681085,1
0.2,0.3,0.2,"Coherence emerges.",17,0.998902,0.001391,8.463955,1
0.2,0.3,0.2,"Meaning stabilizes.",18,0.998982,0.068547,9.154507,1
0.2,0.3,0.2,"الوعي يتطور.",11,0.998960,-0.004874,9.302035,1
0.2,0.3,0.2,"語は流れる。",6,0.999739,0.005410,6.770873,1
0.2,0.3,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999752,0.015045,10.695272,1
0.2,0.3,0.2,"🇪🇬 Field Integrity",16,0.999462,-0.001476,8.550653,1
0.2,0.3,0.2,"ASCπ → OSAI",9,0.999130,0.050797,5.887735,1
0.2,0.3,0.2,"ΔΦ · κ · θ → Ψ",8,0.997859,0.000231,6.079459,1
0.2,0.6,0.05,"Coherence emerges.",17,0.999554,-0.011043,11.319902,1
0.2,0.6,0.05,"Meaning stabilizes.",18,0.998756,0.052189,12.345299,1
0.2,0.6,0.05,"الوعي يتطور.",11,0.998249,0.064063,11.229605,1
0.2,0.6,0.05,"語は流れる。",6,0.998842,0.045936,8.745736,1
0.2,0.6,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999887,-0.004585,12.313388,1
0.2,0.6,0.05,"🇪🇬 Field Integrity",16,0.998750,0.033943,11.573142,1
0.2,0.6,0.05,"ASCπ → OSAI",9,0.999607,0.131084,8.468710,1
0.2,0.6,0.05,"ΔΦ · κ · θ → Ψ",8,0.998902,-0.001582,9.503185,1
0.2,0.6,0.1,"Coherence emerges.",17,0.999382,0.054865,10.119385,1
0.2,0.6,0.1,"Meaning stabilizes.",18,0.999410,0.120223,9.947562,1
0.2,0.6,0.1,"الوعي يتطور.",11,0.999728,0.000302,10.032373,1
0.2,0.6,0.1,"語は流れる。",6,0.998819,0.136628,10.545112,1
0.2,0.6,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999278,0.003011,14.710837,1
0.2,0.6,0.1,"🇪🇬 Field Integrity",16,0.998801,0.004128,11.351491,1
0.2,0.6,0.1,"ASCπ → OSAI",9,0.999557,0.009031,7.869130,1
0.2,0.6,0.1,"ΔΦ · κ · θ → Ψ",8,0.999954,0.019304,7.107392,1
0.2,0.6,0.15,"Coherence emerges.",17,0.997000,0.008442,11.307278,1
0.2,0.6,0.15,"Meaning stabilizes.",18,0.998788,0.028644,11.142260,1
0.2,0.6,0.15,"الوعي يتطور.",11,0.998035,0.046528,10.028496,1
0.2,0.6,0.15,"語は流れる。",6,0.999074,0.033782,10.543542,1
0.2,0.6,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999656,0.003906,11.713302,1
0.2,0.6,0.15,"🇪🇬 Field Integrity",16,0.999176,0.069629,11.572002,1
0.2,0.6,0.15,"ASCπ → OSAI",9,0.999134,0.001986,8.466635,1
0.2,0.6,0.15,"ΔΦ · κ · θ → Ψ",8,0.998942,0.006393,10.104805,1
0.2,0.6,0.2,"Coherence emerges.",17,0.997891,0.074290,12.514884,1
0.2,0.6,0.2,"Meaning stabilizes.",18,0.998313,0.022872,11.745236,1
0.2,0.6,0.2,"الوعي يتطور.",11,0.998322,0.008030,9.429122,1
0.2,0.6,0.2,"語は流れる。",6,0.999471,0.045993,9.945149,1
0.2,0.6,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999912,-0.011212,13.513435,1
0.2,0.6,0.2,"🇪🇬 Field Integrity",16,0.999780,0.015570,10.154504,1
0.2,0.6,0.2,"ASCπ → OSAI",9,0.998405,0.007383,8.464560,1
0.2,0.6,0.2,"ΔΦ · κ · θ → Ψ",8,0.999360,0.002492,7.706535,1
0.4,0.05,0.05,"Coherence emerges.",17,0.999568,0.406226,5.834793,1
0.4,0.05,0.05,"Meaning stabilizes.",18,0.999814,0.241794,6.278170,1
0.4,0.05,0.05,"الوعي يتطور.",11,0.999068,0.468841,5.945294,1
0.4,0.05,0.05,"語は流れる。",6,0.999699,0.433533,4.374622,1
0.4,0.05,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999893,0.234876,9.846823,1
0.4,0.05,0.05,"🇪🇬 Field Integrity",16,0.999478,0.243290,6.565286,1
0.4,0.05,0.05,"ASCπ → OSAI",9,0.999866,0.396787,3.689037,1
0.4,0.05,0.05,"ΔΦ · κ · θ → Ψ",8,0.999766,0.226729,4.078615,1
0.4,0.05,0.1,"Coherence emerges.",17,0.998636,0.456532,5.834652,1
0.4,0.05,0.1,"Meaning stabilizes.",18,0.999082,0.295371,6.178118,1
0.4,0.05,0.1,"الوعي يتطور.",11,0.999982,0.482090,5.645611,1
0.4,0.05,0.1,"語は流れる。",6,0.998890,0.275462,4.356144,1
0.4,0.05,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.997912,0.237733,9.846693,1
0.4,0.05,0.1,"🇪🇬 Field Integrity",16,0.998937,0.201372,6.615228,1
0.4,0.05,0.1,"ASCπ → OSAI",9,0.997637,0.429741,3.538885,1
0.4,0.05,0.1,"ΔΦ · κ · θ → Ψ",8,0.999491,0.273938,4.128569,1
0.4,0.05,0.15,"Coherence emerges.",17,0.998376,0.423380,5.884668,1
0.4,0.05,0.15,"Meaning stabilizes.",18,0.999137,0.206536,6.178108,1
0.4,0.05,0.15,"الوعي يتطور.",11,0.999065,0.398540,5.895336,1
0.4,0.05,0.15,"語は流れる。",6,0.999321,0.455838,4.624439,1
0.4,0.05,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999404,0.263179,9.796817,1
0.4,0.05,0.15,"🇪🇬 Field Integrity",16,0.999619,0.226851,6.665331,1
0.4,0.05,0.15,"ASCπ → OSAI",9,0.999682,0.442466,3.639070,1
0.4,0.05,0.15,"ΔΦ · κ · θ → Ψ",8,0.999604,0.258825,4.228549,1
0.4,0.05,0.2,"Coherence emerges.",17,0.999202,0.395605,5.934649,1
0.4,0.05,0.2,"Meaning stabilizes.",18,0.999211,0.305202,6.128137,1
0.4,0.05,0.2,"الوعي يتطور.",11,0.999319,0.400799,5.945548,1
0.4,0.05,0.2,"語は流れる。",6,0.998844,0.409875,4.524334,1
0.4,0.05,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999154,0.245577,9.846793,1
0.4,0.05,0.2,"🇪🇬 Field Integrity",16,0.999883,0.217691,6.515342,1
0.4,0.05,0.2,"ASCπ → OSAI",9,0.999309,0.383929,3.688935,1
0.4,0.05,0.2,"ΔΦ · κ · θ → Ψ",8,0.998729,0.258924,4.028559,1
0.4,0.1,0.05,"Coherence emerges.",17,0.998780,0.341841,6.060408,1
0.4,0.1,0.05,"Meaning stabilizes.",18,0.999638,0.305180,6.491758,1
0.4,0.1,0.05,"الوعي يتطور.",11,0.999886,0.443471,5.817215,1
0.4,0.1,0.05,"語は流れる。",6,0.999665,0.253032,5.117010,1
0.4,0.1,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999780,0.222134,10.316471,1
0.4,0.1,0.05,"🇪🇬 Field Integrity",16,0.999775,0.265410,6.682537,1
0.4,0.1,0.05,"ASCπ → OSAI",9,0.998688,0.400690,3.968568,1
0.4,0.1,0.05,"ΔΦ · κ · θ → Ψ",8,0.999841,0.237560,4.099424,1
0.4,0.1,0.1,"Coherence emerges.",17,0.999144,0.420523,6.360462,1
0.4,0.1,0.1,"Meaning stabilizes.",18,0.999506,0.276042,6.491728,1
0.4,0.1,0.1,"الوعي يتطور.",11,0.999795,0.428685,6.017165,1
0.4,0.1,0.1,"語は流れる。",6,0.999752,0.409587,4.653898,1
0.4,0.1,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999883,0.303608,9.916543,1
0.4,0.1,0.1,"🇪🇬 Field Integrity",16,0.997800,0.235396,6.782065,1
0.4,0.1,0.1,"ASCπ → OSAI",9,0.999357,0.359322,4.068861,1
0.4,0.1,0.1,"ΔΦ · κ · θ → Ψ",8,0.999284,0.299904,4.299298,1
0.4,0.1,0.15,"Coherence emerges.",17,0.998097,0.433142,6.360043,1
0.4,0.1,0.15,"Meaning stabilizes.",18,0.999748,0.266241,6.591719,1
0.4,0.1,0.15,"الوعي يتطور.",11,0.999898,0.413312,6.217199,1
0.4,0.1,0.15,"語は流れる。",6,0.999500,0.424167,4.853714,1
0.4,0.1,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999476,0.259128,10.216480,1
0.4,0.1,0.15,"🇪🇬 Field Integrity",16,0.999116,0.309152,6.782471,1
0.4,0.1,0.15,"ASCπ → OSAI",9,0.999867,0.431185,3.869153,1
0.4,0.1,0.15,"ΔΦ · κ · θ → Ψ",8,0.999874,0.300236,4.199409,1
0.4,0.1,0.2,"Coherence emerges.",17,0.999405,0.413733,6.160675,1
0.4,0.1,0.2,"Meaning stabilizes.",18,0.999518,0.242512,6.491706,1
0.4,0.1,0.2,"الوعي يتطور.",11,0.999061,0.438001,6.316962,1
0.4,0.1,0.2,"語は流れる。",6,0.998595,0.464467,4.853588,1
0.4,0.1,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999566,0.222333,10.016495,1
0.4,0.1,0.2,"🇪🇬 Field Integrity",16,0.999119,0.282845,6.682558,1
0.4,0.1,0.2,"ASCπ → OSAI",9,0.999723,0.451214,3.769206,1
0.4,0.1,0.2,"ΔΦ · κ · θ → Ψ",8,0.999484,0.245014,4.199367,1
0.4,0.3,0.05,"Coherence emerges.",17,0.999668,0.385479,7.264533,1
0.4,0.3,0.05,"Meaning stabilizes.",18,0.999691,0.243391,7.245955,1
0.4,0.3,0.05,"الوعي يتطور.",11,0.999813,0.433327,7.803591,1
0.4,0.3,0.05,"語は流れる。",6,0.997770,0.391232,6.468670,1
0.4,0.3,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999937,0.288905,10.395361,1
0.4,0.3,0.05,"🇪🇬 Field Integrity",16,0.999464,0.297763,7.051469,1
0.4,0.3,0.05,"ASCπ → OSAI",9,0.999772,0.286583,4.879122,1
0.4,0.3,0.05,"ΔΦ · κ · θ → Ψ",8,0.999558,0.262161,5.182399,1
0.4,0.3,0.1,"Coherence emerges.",17,0.999363,0.378412,7.864351,1
0.4,0.3,0.1,"Meaning stabilizes.",18,0.998971,0.248865,7.245540,1
0.4,0.3,0.1,"الوعي يتطور.",11,0.999035,0.404817,7.202635,1
0.4,0.3,0.1,"語は流れる。",6,0.999099,0.286487,5.460408,1
0.4,0.3,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999813,0.303926,10.395380,1
0.4,0.3,0.1,"🇪🇬 Field Integrity",16,0.999890,0.265859,7.651484,1
0.4,0.3,0.1,"ASCπ → OSAI",9,0.997508,0.431735,4.987946,1
0.4,0.3,0.1,"ΔΦ · κ · θ → Ψ",8,0.999810,0.282716,5.182587,1
0.4,0.3,0.15,"Coherence emerges.",17,0.999440,0.388109,7.563706,1
0.4,0.3,0.15,"Meaning stabilizes.",18,0.999830,0.271452,7.546112,1
0.4,0.3,0.15,"الوعي يتطور.",11,0.999481,0.476761,7.802755,1
0.4,0.3,0.15,"語は流れる。",6,0.997213,0.439419,6.167214,1
0.4,0.3,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999293,0.254583,11.594256,1
0.4,0.3,0.15,"🇪🇬 Field Integrity",16,0.999616,0.269860,7.951221,1
0.4,0.3,0.15,"ASCπ → OSAI",9,0.999731,0.434368,4.989150,1
0.4,0.3,0.15,"ΔΦ · κ · θ → Ψ",8,0.999656,0.278361,5.482386,1
0.4,0.3,0.2,"Coherence emerges.",17,0.999878,0.441833,6.664647,1
0.4,0.3,0.2,"Meaning stabilizes.",18,0.998580,0.227444,6.945711,1
0.4,0.3,0.2,"الوعي يتطور.",11,0.997905,0.394850,7.799888,1
0.4,0.3,0.2,"語は流れる。",6,0.999602,0.275333,5.760720,1
0.4,0.3,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999762,0.227712,10.995317,1
0.4,0.3,0.2,"🇪🇬 Field Integrity",16,0.999657,0.223885,8.251210,1
0.4,0.3,0.2,"ASCπ → OSAI",9,0.999757,0.435799,5.889138,1
0.4,0.3,0.2,"ΔΦ · κ · θ → Ψ",8,0.999587,0.285822,4.882516,1
0.4,0.6,0.05,"Coherence emerges.",17,0.999296,0.377074,8.920075,1
0.4,0.6,0.05,"Meaning stabilizes.",18,0.999869,0.227322,7.327689,1
0.4,0.6,0.05,"الوعي يتطور.",11,0.999009,0.351830,8.232929,1
0.4,0.6,0.05,"語は流れる。",6,0.999733,0.383888,8.146799,1
0.4,0.6,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999554,0.249125,12.313297,1
0.4,0.6,0.05,"🇪🇬 Field Integrity",16,0.999950,0.211611,8.954837,1
0.4,0.6,0.05,"ASCπ → OSAI",9,0.999029,0.270461,6.447905,1
0.4,0.6,0.05,"ΔΦ · κ · θ → Ψ",8,0.999661,0.242605,6.507301,1
0.4,0.6,0.1,"Coherence emerges.",17,0.998995,0.401637,9.518644,1
0.4,0.6,0.1,"Meaning stabilizes.",18,0.999567,0.259805,7.927118,1
0.4,0.6,0.1,"الوعي يتطور.",11,0.999430,0.417422,8.832483,1
0.4,0.6,0.1,"語は流れる。",6,0.999448,0.434210,8.146641,1
0.4,0.6,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.998642,0.231953,12.312105,1
0.4,0.6,0.1,"🇪🇬 Field Integrity",16,0.999777,0.180972,8.954786,1
0.4,0.6,0.1,"ASCπ → OSAI",9,0.998040,0.345053,7.865842,1
0.4,0.6,0.1,"ΔΦ · κ · θ → Ψ",8,0.999136,0.267518,6.506353,1
0.4,0.6,0.15,"Coherence emerges.",17,0.998911,0.408840,9.518261,1
0.4,0.6,0.15,"Meaning stabilizes.",18,0.999366,0.230265,9.127105,1
0.4,0.6,0.15,"الوعي يتطور.",11,0.999752,0.407283,8.833189,1
0.4,0.6,0.15,"語は流れる。",6,0.997710,0.472094,8.743506,1
0.4,0.6,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999833,0.257151,12.313540,1
0.4,0.6,0.15,"🇪🇬 Field Integrity",16,0.998814,0.247360,8.953812,1
0.4,0.6,0.15,"ASCπ → OSAI",9,0.999919,0.378348,7.270019,1
0.4,0.6,0.15,"ΔΦ · κ · θ → Ψ",8,0.999873,0.262712,6.507364,1
0.4,0.6,0.2,"Coherence emerges.",17,0.999828,0.470842,8.920722,1
0.4,0.6,0.2,"Meaning stabilizes.",18,0.999850,0.262015,8.527550,1
0.4,0.6,0.2,"الوعي يتطور.",11,0.999705,0.476445,8.832742,1
0.4,0.6,0.2,"語は流れる。",6,0.999530,0.269718,6.726557,1
0.4,0.6,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999018,0.204807,12.912703,1
0.4,0.6,0.2,"🇪🇬 Field Integrity",16,0.999801,0.199370,8.954714,1
0.4,0.6,0.2,"ASCπ → OSAI",9,0.999520,0.425086,6.069524,1
0.4,0.6,0.2,"ΔΦ · κ · θ → Ψ",8,0.999718,0.253636,8.306815,1
