alpha,beta,gamma,phrase,glyph_count,final_coherence,final_kappa,final_energy,convergence_valid
0.05,0.3,0.05,"ASCπ → OSAI",9,0.999294,-0.000181,5.587920,1
0.05,0.3,0.05,"ΔΦ · κ · θ → Ψ",8,0.999352,0.002594,5.781771,1
0.05,0.3,0.1,"Coherence emerges.",17,0.999908,0.000650,6.664759,1
0.05,0.3,0.1,"Meaning stabilizes.",18,0.999990,0.009834,6.456506,1
0.05,0.3,0.1,"الوعي يتطور.",11,0.999244,-0.007238,8.402028,1
0.05,0.3,0.1,"語は流れる。",6,0.999150,0.002430,7.069025,1
0.05,0.3,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999964,0.001939,10.095384,1
0.05,0.3,0.1,"🇪🇬 Field Integrity",16,0.999789,0.003834,7.761493,1
0.05,0.3,0.1,"ASCπ → OSAI",9,0.998932,0.003999,5.287451,1
0.05,0.3,0.1,"ΔΦ · κ · θ → Ψ",8,0.999793,-0.003442,5.782169,1
0.05,0.3,0.15,"Coherence emerges.",17,1.000000,-0.011453,5.764869,1
0.05,0.3,0.15,"Meaning stabilizes.",18,0.999905,-0.005258,6.456475,1
0.05,0.3,0.15,"الوعي يتطور.",11,0.999870,0.001939,7.203552,1
0.05,0.3,0.15,"語は流れる。",6,0.999820,0.001445,6.470709,1
0.05,0.3,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999665,-0.012546,10.095384,1
0.05,0.3,0.15,"🇪🇬 Field Integrity",16,0.999971,0.023321,6.561870,1
0.05,0.3,0.15,"ASCπ → OSAI",9,0.999643,-0.009916,4.089370,1
0.05,0.3,0.15,"ΔΦ · κ · θ → Ψ",8,1.000000,0.005545,3.982653,1
0.05,0.3,0.2,"Coherence emerges.",17,0.999896,0.000772,6.664751,1
0.05,0.3,0.2,"Meaning stabilizes.",18,0.999966,0.002754,6.456499,1
0.05,0.3,0.2,"الوعي يتطور.",11,0.999783,-0.001635,6.603513,1
0.05,0.3,0.2,"語は流れる。",6,0.999383,0.003049,7.070219,1
0.05,0.3,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999222,0.000050,11.594079,1
0.05,0.3,0.2,"🇪🇬 Field Integrity",16,0.999924,0.000293,7.461832,1
0.05,0.3,0.2,"ASCπ → OSAI",9,0.999878,0.005531,3.789525,1
0.05,0.3,0.2,"ΔΦ · κ · θ → Ψ",8,0.999940,0.011137,4.582643,1
0.05,0.6,0.05,"Coherence emerges.",17,0.999153,-0.000837,8.918143,1
0.05,0.6,0.05,"Meaning stabilizes.",18,0.999531,-0.000059,8.747088,1
0.05,0.6,0.05,"الوعي يتطور.",11,0.998545,-0.008614,7.031335,1
0.05,0.6,0.05,"語は流れる。",6,0.999795,-0.003301,6.947029,1
0.05,0.6,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999973,-0.001665,11.113644,1
0.05,0.6,0.05,"🇪🇬 Field Integrity",16,0.999444,0.003139,10.372867,1
0.05,0.6,0.05,"ASCπ → OSAI",9,0.999457,-0.001635,4.869616,1
0.05,0.6,0.05,"ΔΦ · κ · θ → Ψ",8,1.000000,-0.003502,4.107497,1
0.05,0.6,0.1,"Coherence emerges.",17,0.999935,0.000331,7.120857,1
0.05,0.6,0.1,"Meaning stabilizes.",18,0.999615,-0.002016,6.948146,1
0.05,0.6,0.1,"الوعي يتطور.",11,0.999984,-0.001253,7.033369,1
0.05,0.6,0.1,"語は流れる。",6,0.999261,-0.007488,8.142490,1
0.05,0.6,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999453,0.006597,12.312715,1
0.05,0.6,0.1,"🇪🇬 Field Integrity",16,0.999883,-0.002221,6.775618,1
0.05,0.6,0.1,"ASCπ → OSAI",9,0.999687,0.007422,6.069350,1
0.05,0.6,0.1,"ΔΦ · κ · θ → Ψ",8,1.000000,0.016180,4.107497,1
0.05,0.6,0.15,"Coherence emerges.",17,0.999942,0.001041,7.120843,1
0.05,0.6,0.15,"Meaning stabilizes.",18,0.999529,-0.000298,8.146569,1
0.05,0.6,0.15,"الوعي يتطور.",11,0.999867,-0.002141,7.633090,1
0.05,0.6,0.15,"語は流れる。",6,0.999837,-0.002403,5.747225,1
0.05,0.6,0.15,"👨‍👩‍👧‍👦 Family cluster",20,0.999715,0.008609,11.113422,1
0.05,0.6,0.15,"🇪🇬 Field Integrity",16,0.999638,-0.003072,7.974848,1
0.05,0.6,0.15,"ASCπ → OSAI",9,0.999985,0.001406,5.470122,1
0.05,0.6,0.15,"ΔΦ · κ · θ → Ψ",8,0.999786,0.001416,6.507015,1
0.05,0.6,0.2,"Coherence emerges.",17,0.999900,0.009248,6.520774,1
0.05,0.6,0.2,"Meaning stabilizes.",18,0.999981,0.003058,7.548364,1
0.05,0.6,0.2,"الوعي يتطور.",11,0.999804,0.004048,7.033014,1
0.05,0.6,0.2,"語は流れる。",6,0.999921,-0.001414,5.147246,1
0.05,0.6,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999919,-0.000125,11.713510,1
0.05,0.6,0.2,"🇪🇬 Field Integrity",16,0.999971,-0.003055,7.375617,1
0.05,0.6,0.2,"ASCπ → OSAI",9,0.999300,-0.002912,4.869726,1
0.05,0.6,0.2,"ΔΦ · κ · θ → Ψ",8,0.999802,0.002369,5.907338,1
0.1,0.05,0.05,"Coherence emerges.",17,0.999807,-0.003207,5.884815,1
0.1,0.05,0.05,"Meaning stabilizes.",18,0.998892,-0.002494,6.645635,1
0.1,0.05,0.05,"الوعي يتطور.",11,0.999355,-0.002522,6.045338,1
0.1,0.05,0.05,"語は流れる。",6,0.999678,0.002425,4.474551,1
0.1,0.05,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999844,0.013123,9.846813,1
0.1,0.05,0.05,"🇪🇬 Field Integrity",16,0.999523,-0.004719,6.533702,1
0.1,0.05,0.05,"ASCπ → OSAI",9,0.999408,-0.022539,3.539039,1
0.1,0.05,0.05,"ΔΦ · κ · θ → Ψ",8,0.999727,0.002155,4.078594,1
0.1,0.05,0.1,"Coherence emerges.",17,0.998170,0.000698,6.283371,1
0.1,0.05,0.1,"Meaning stabilizes.",18,0.999566,0.000181,6.296497,1
0.1,0.05,0.1,"الوعي يتطور.",11,0.999725,-0.001589,5.895566,1
0.1,0.05,0.1,"語は流れる。",6,0.999517,0.008310,4.574447,1
0.1,0.05,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999645,-0.000711,9.746833,1
0.1,0.05,0.1,"🇪🇬 Field Integrity",16,0.999518,-0.005707,6.633671,1
0.1,0.05,0.1,"ASCπ → OSAI",9,0.999581,0.006863,3.638992,1
0.1,0.05,0.1,"ΔΦ · κ · θ → Ψ",8,0.999459,0.006404,4.328325,1
0.1,0.05,0.15,"Coherence emerges.",17,0.999890,-0.000229,5.934791,1
0.1,0.05,0.15,"Meaning stabilizes.",18,0.999437,0.002405,6.246435,1
0.1,0.05,0.15,"الوعي يتطور.",11,0.998732,0.001119,5.945254,1
0.1,0.05,0.15,"語は流れる。",6,0.999908,0.000340,4.524600,1
0.1,0.05,0.15,"👨‍👩‍👧‍👦 Family cluster",20,1.000000,-0.000932,9.696833,1
0.1,0.05,0.15,"🇪🇬 Field Integrity",16,0.999493,0.002635,7.133171,1
0.1,0.05,0.15,"ASCπ → OSAI",9,0.999798,-0.001102,3.639070,1
0.1,0.05,0.15,"ΔΦ · κ · θ → Ψ",8,0.999339,0.010282,4.278275,1
0.1,0.05,0.2,"Coherence emerges.",17,0.999622,0.004799,6.034696,1
0.1,0.05,0.2,"Meaning stabilizes.",18,0.999324,-0.005302,6.396320,1
0.1,0.05,0.2,"الوعي يتطور.",11,0.998780,0.010135,6.144785,1
0.1,0.05,0.2,"語は流れる。",6,0.999736,0.000474,4.574499,1
0.1,0.05,0.2,"👨‍👩‍👧‍👦 Family cluster",20,0.999877,-0.005451,9.746833,1
0.1,0.05,0.2,"🇪🇬 Field Integrity",16,0.998802,0.019779,6.433677,1
0.1,0.05,0.2,"ASCπ → OSAI",9,0.998939,0.006344,3.688950,1
0.1,0.05,0.2,"ΔΦ · κ · θ → Ψ",8,0.997628,0.004530,4.377199,1
0.1,0.1,0.05,"Coherence emerges.",17,0.998785,0.001516,6.360033,1
0.1,0.1,0.05,"Meaning stabilizes.",18,0.999399,-0.005686,6.927861,1
0.1,0.1,0.05,"الوعي يتطور.",11,0.999058,0.006887,6.017072,1
0.1,0.1,0.05,"語は流れる。",6,0.999297,-0.007618,5.153506,1
0.1,0.1,0.05,"👨‍👩‍👧‍👦 Family cluster",20,0.999873,-0.002073,9.916529,1
0.1,0.1,0.05,"🇪🇬 Field Integrity",16,0.999805,0.005353,6.919245,1
0.1,0.1,0.05,"ASCπ → OSAI",9,0.998316,-0.006393,4.567354,1
0.1,0.1,0.05,"ΔΦ · κ · θ → Ψ",8,0.999808,-0.001994,4.399348,1
0.1,0.1,0.1,"Coherence emerges.",17,0.999350,-0.000775,6.160728,1
0.1,0.1,0.1,"Meaning stabilizes.",18,0.998922,-0.002119,6.428310,1
0.1,0.1,0.1,"الوعي يتطور.",11,0.999540,0.005570,6.217098,1
0.1,0.1,0.1,"語は流れる。",6,0.999674,-0.003837,4.953670,1
0.1,0.1,0.1,"👨‍👩‍👧‍👦 Family cluster",20,0.999931,0.013146,10.016536,1
0.1,0.1,0.1,"🇪🇬 Field Integrity",16,0.999035,0.000033,6.819057,1
0.1,0.1,0.1,"ASCπ → OSAI",9,0.999640,0.004154,4.068799,1
0.1,0.1,0.1,"ΔΦ · κ · θ → Ψ",8,0.999862,0.003827,4.199378,1
0.1,0.1,0.15,"Coherence emerges.",17,0.999543,0.005454,6.560554,1
0.1,0.1,0.15,"Meaning stabilizes.",18,0.999711,0.002284,6.628426,1
0.1,0.1,0.15,"الوعي يتطور.",11,0.999631,0.001284,6.117014,1
0.1,0.1,0.15,"語は流れる。",6,0.999430,-0.017776,4.753840,1
0.1,0.1,0.15,"👨‍👩‍👧‍👦 Family cluster",20,1.000000,0.010113,9.816543,1
0.1,0.1,0.15,"🇪🇬 Field Integrity",16,0.999267,0.001033,7.218909,1
0.1,0.1,0.15,"ASCπ → OSAI",9,0.999373,-0.001236,3.968964,1
0.1,0.1,0.15,"ΔΦ · κ · θ → Ψ",8,1.000000,0.005648,3.899424,1
0.1,0.1,0.2,"Coherence emerges.",17,0.998527,-0.004349,6.360056,1
0.1,0.1,0.2,"Meaning stabilizes.",18,0.999187,0.012421,6.428349,1
0.1,0.1,0.2,"الوعي يتطور.",11,0.999771,0.003927,5.917182,1
